Group,Code,Name,Year,Disease,Disease_description,Denominator,Incidence_rate
Countries,IND,India,2010,MEASLES,Measles,"Per 100,000 population",75.24
Countries,IND,India,2010,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",43.4
Countries,IND,India,2010,DIPHTHERIA,Diphtheria,"Per 100,000 population",13.22
Countries,IND,India,2010,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2010,POLIO,Poliomyelitis,"Per 100,000 population",23.49
Countries,IND,India,2010,HEPB,Hepatitis B,"Per 100,000 population",66.99
Countries,IND,India,2010,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",149.24
Countries,IND,India,2010,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",210.27
Countries,IND,India,2010,INFLUENZA,Seasonal Influenza,"Per 100,000 population",274.92
Countries,IND,India,2011,MEASLES,Measles,"Per 100,000 population",81.91
Countries,IND,India,2011,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",62.86
Countries,IND,India,2011,DIPHTHERIA,Diphtheria,"Per 100,000 population",15.3
Countries,IND,India,2011,TETANUS,Neonatal Tetanus,"Per 1,000 live births",12.7
Countries,IND,India,2011,POLIO,Poliomyelitis,"Per 100,000 population",25.69
Countries,IND,India,2011,HEPB,Hepatitis B,"Per 100,000 population",59.21
Countries,IND,India,2011,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",133.37
Countries,IND,India,2011,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",215.18
Countries,IND,India,2011,INFLUENZA,Seasonal Influenza,"Per 100,000 population",286.89
Countries,IND,India,2012,MEASLES,Measles,"Per 100,000 population",73.46
Countries,IND,India,2012,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",46.11
Countries,IND,India,2012,DIPHTHERIA,Diphtheria,"Per 100,000 population",9.04
Countries,IND,India,2012,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2012,POLIO,Poliomyelitis,"Per 100,000 population",23.31
Countries,IND,India,2012,HEPB,Hepatitis B,"Per 100,000 population",58.84
Countries,IND,India,2012,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",127.12
Countries,IND,India,2012,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",218.55
Countries,IND,India,2012,INFLUENZA,Seasonal Influenza,"Per 100,000 population",271.56
Countries,IND,India,2013,MEASLES,Measles,"Per 100,000 population",66.31
Countries,IND,India,2013,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",47.51
Countries,IND,India,2013,DIPHTHERIA,Diphtheria,"Per 100,000 population",7.82
Countries,IND,India,2013,TETANUS,Neonatal Tetanus,"Per 1,000 live births",5.88
Countries,IND,India,2013,POLIO,Poliomyelitis,"Per 100,000 population",16.29
Countries,IND,India,2013,HEPB,Hepatitis B,"Per 100,000 population",45.77
Countries,IND,India,2013,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",127.77
Countries,IND,India,2013,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",208.16
Countries,IND,India,2013,INFLUENZA,Seasonal Influenza,"Per 100,000 population",251.14
Countries,IND,India,2014,MEASLES,Measles,"Per 100,000 population",87.41
Countries,IND,India,2014,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",41.08
Countries,IND,India,2014,DIPHTHERIA,Diphtheria,"Per 100,000 population",3.03
Countries,IND,India,2014,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2014,POLIO,Poliomyelitis,"Per 100,000 population",6.32
