Group,Code,Name,Year,Disease,Disease_description,Cases
Countries,IND,India,2010,MEASLES,Measles,83760
Countries,IND,India,2010,PERTUSSIS,Pertussis (Whooping Cough),64047
Countries,IND,India,2010,DIPHTHERIA,Diphtheria,21449
Countries,IND,India,2010,TETANUS,Neonatal Tetanus,123
Countries,IND,India,2010,POLIO,Poliomyelitis,36284
Countries,IND,India,2010,HEPB,Hepatitis B,80523
Countries,IND,India,2010,TUBERCULOSIS,Tuberculosis,232419
Countries,IND,India,2010,ROTA_DIARRHEA,Rotavirus Diarrhea,295831
Countries,IND,India,2010,INFLUENZA,Seasonal Influenza,400351
Countries,IND,India,2011,MEASLES,Measles,102677
Countries,IND,India,2011,PERTUSSIS,Pertussis (Whooping Cough),92723
Countries,IND,India,2011,DIPHTHERIA,Diphtheria,19499
Countries,IND,India,2011,TETANUS,Neonatal Tetanus,16676
Countries,IND,India,2011,POLIO,Poliomyelitis,27778
Countries,IND,India,2011,HEPB,Hepatitis B,73292
Countries,IND,India,2011,TUBERCULOSIS,Tuberculosis,172000
Countries,IND,India,2011,ROTA_DIARRHEA,Rotavirus Diarrhea,315387
Countries,IND,India,2011,INFLUENZA,Seasonal Influenza,437532
Countries,IND,India,2012,MEASLES,Measles,93465
Countries,IND,India,2012,PERTUSSIS,Pertussis (Whooping Cough),62961
Countries,IND,India,2012,DIPHTHERIA,Diphtheria,15857
Countries,IND,India,2012,TETANUS,Neonatal Tetanus,142
Countries,IND,India,2012,POLIO,Poliomyelitis,30005
Countries,IND,India,2012,HEPB,Hepatitis B,61621
Countries,IND,India,2012,TUBERCULOSIS,Tuberculosis,155172
Countries,IND,India,2012,ROTA_DIARRHEA,Rotavirus Diarrhea,264991
Countries,IND,India,2012,INFLUENZA,Seasonal Influenza,492977
Countries,IND,India,2013,MEASLES,Measles,81019
Countries,IND,India,2013,PERTUSSIS,Pertussis (Whooping Cough),67023
Countries,IND,India,2013,DIPHTHERIA,Diphtheria,11556
Countries,IND,India,2013,TETANUS,Neonatal Tetanus,9598
Countries,IND,India,2013,POLIO,Poliomyelitis,22833
Countries,IND,India,2013,HEPB,Hepatitis B,59173
Countries,IND,India,2013,TUBERCULOSIS,Tuberculosis,163408
Countries,IND,India,2013,ROTA_DIARRHEA,Rotavirus Diarrhea,307002
Countries,IND,India,2013,INFLUENZA,Seasonal Influenza,315504
Countries,IND,India,2014,MEASLES,Measles,102105
Countries,IND,India,2014,PERTUSSIS,Pertussis (Whooping Cough),53107
Countries,IND,India,2014,DIPHTHERIA,Diphtheria,3399
Countries,IND,India,2014,TETANUS,Neonatal Tetanus,178
Countries,IND,India,2014,POLIO,Poliomyelitis,9639
Countries,IND,India,2014,HEPB,Hepatitis B,83694
Countries,IND,India,2014,TUBERCULOSIS,Tuberculosis,187382
Countries,IND,India,2014,ROTA_DIARRHEA,Rotavirus Diarrhea,328207
Countries,IND,India,2014,INFLUENZA,Seasonal Influenza,361610
Countries,IND,India,2015,MEASLES,Measles,116080
Countries,IND,India,2015,PERTUSSIS,Pertussis (Whooping Cough),41256
Countries,IND,India,2015,DIPHTHERIA,Diphtheria,10195
Countries,IND,India,2015,TETANUS,Neonatal Tetanus,140
Countries,IND,India,2015,POLIO,Poliomyelitis,36197
Countries,IND,India,2015,HEPB,Hepatitis B,79051
Countries,IND,India,2015,TUBERCULOSIS,Tuberculosis,172059
Countries,IND,India,2015,ROTA_DIARRHEA,Rotavirus Diarrhea,286906
Countries,IND,India,2015,INFLUENZA,Seasonal Influenza,393330
Countries,IND,India,2016,MEASLES,Measles,87053
Countries,IND,India,2016,PERTUSSIS,Pertussis (Whooping Cough),49387
Countries,IND,India,2016,DIPHTHERIA,Diphtheria,24421
Countries,IND,India,2016,TETANUS,Neonatal Tetanus,3218
Countries,IND,India,2016,POLIO,Poliomyelitis,46406
Countries,IND,India,2016,HEPB,Hepatitis B,77632
Countries,IND,India,2016,TUBERCULOSIS,Tuberculosis,102048
Countries,IND,India,2016,ROTA_DIARRHEA,Rotavirus Diarrhea,235219
Countries,IND,India,2016,INFLUENZA,Seasonal Influenza,203126
Countries,IND,India,2017,MEASLES,Measles,54266
Countries,IND,India,2017,PERTUSSIS,Pertussis (Whooping Cough),40990
Countries,IND,India,2017,DIPHTHERIA,Diphtheria,11395
Countries,IND,India,2017,TETANUS,Neonatal Tetanus,2385
Countries,IND,India,2017,POLIO,Poliomyelitis,26221
Countries,IND,India,2017,HEPB,Hepatitis B,75159
Countries,IND,India,2017,TUBERCULOSIS,Tuberculosis,172442
Countries,IND,India,2017,ROTA_DIARRHEA,Rotavirus Diarrhea,284597
Countries,IND,India,2017,INFLUENZA,Seasonal Influenza,269070
Countries,IND,India,2018,MEASLES,Measles,69381
Countries,IND,India,2018,PERTUSSIS,Pertussis (Whooping Cough),50201
Countries,IND,India,2018,DIPHTHERIA,Diphtheria,122
Countries,IND,India,2018,TETANUS,Neonatal Tetanus,10250
Countries,IND,India,2018,POLIO,Poliomyelitis,24595
Countries,IND,India,2018,HEPB,Hepatitis B,72257
Countries,IND,India,2018,TUBERCULOSIS,Tuberculosis,134187
Countries,IND,India,2018,ROTA_DIARRHEA,Rotavirus Diarrhea,255785
Countries,IND,India,2018,INFLUENZA,Seasonal Influenza,339573
Countries,IND,India,2019,MEASLES,Measles,86555
Countries,IND,India,2019,PERTUSSIS,Pertussis (Whooping Cough),51816
Countries,IND,India,2019,DIPHTHERIA,Diphtheria,23113
Countries,IND,India,2019,TETANUS,Neonatal Tetanus,2962
Countries,IND,India,2019,POLIO,Poliomyelitis,33216
Countries,IND,India,2019,HEPB,Hepatitis B,52663
Countries,IND,India,2019,TUBERCULOSIS,Tuberculosis,95613
Countries,IND,India,2019,ROTA_DIARRHEA,Rotavirus Diarrhea,206840
Countries,IND,India,2019,INFLUENZA,Seasonal Influenza,228971
Countries,IND,India,2020,MEASLES,Measles,114953
Countries,IND,India,2020,PERTUSSIS,Pertussis (Whooping Cough),69723
Countries,IND,India,2020,DIPHTHERIA,Diphtheria,13887
Countries,IND,India,2020,TETANUS,Neonatal Tetanus,131
Countries,IND,India,2020,POLIO,Poliomyelitis,8368
Countries,IND,India,2020,HEPB,Hepatitis B,82272
Countries,IND,India,2020,TUBERCULOSIS,Tuberculosis,175821
Countries,IND,India,2020,ROTA_DIARRHEA,Rotavirus Diarrhea,263736
Countries,IND,India,2020,INFLUENZA,Seasonal Influenza,407065
Countries,IND,India,2021,MEASLES,Measles,127340
Countries,IND,India,2021,PERTUSSIS,Pertussis (Whooping Cough),95903
Countries,IND,India,2021,DIPHTHERIA,Diphtheria,9686
Countries,IND,India,2021,TETANUS,Neonatal Tetanus,119
Countries,IND,India,2021,POLIO,Poliomyelitis,42771
Countries,IND,India,2021,HEPB,Hepatitis B,76574
Countries,IND,India,2021,TUBERCULOSIS,Tuberculosis,160554
