ISO_3_Code,Country_Name,Who_Region,Year,Dimension,Subgroup,Coverage_Pct,Dropout_Rate_Pct,Population_Density_sqkm,Vaccination_Strategy,Seasonal_Peak_Quarter
IND,India,SEARO,2010,Gender,Female,61.66,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2010,Gender,Male,62.62,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2010,Urban_Rural,Urban,68.63,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2010,Urban_Rural,Rural,55.34,35.0,435,Door-to-Door Campaign,Q1
IND,India,SEARO,2010,Education_Level,Primary or Less,52.0,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2010,Education_Level,Secondary,62.37,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2010,Education_Level,Tertiary,74.49,34.45,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2011,Gender,Female,63.95,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2011,Gender,Male,61.72,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2011,Urban_Rural,Urban,69.72,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2011,Urban_Rural,Rural,56.18,35.0,435,Door-to-Door Campaign,Q1
IND,India,SEARO,2011,Education_Level,Primary or Less,53.69,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2011,Education_Level,Secondary,62.13,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2011,Education_Level,Tertiary,71.46,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2012,Gender,Female,64.93,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2012,Gender,Male,61.9,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2012,Urban_Rural,Urban,68.64,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2012,Urban_Rural,Rural,56.35,35.0,435,Door-to-Door Campaign,Q1
IND,India,SEARO,2012,Education_Level,Primary or Less,51.78,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2012,Education_Level,Secondary,64.68,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2012,Education_Level,Tertiary,75.68,33.4,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2013,Gender,Female,63.39,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2013,Gender,Male,61.93,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2013,Urban_Rural,Urban,68.67,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2013,Urban_Rural,Rural,55.57,35.0,435,Door-to-Door Campaign,Q1
IND,India,SEARO,2013,Education_Level,Primary or Less,54.22,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2013,Education_Level,Secondary,65.17,35.0,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2013,Education_Level,Tertiary,77.36,31.93,435,Mobile Outreach Unit,Q1
IND,India,SEARO,2014,Gender,Female,66.06,35.0,435,Centralized Health Clinic,Q1
IND,India,SEARO,2014,Gender,Male,63.98,35.0,435,Centralized Health Clinic,Q1
