Group,Code,Name,Year,Antigen,Antigen_description,Coverage_category,Coverage_category_description,Target_number,Dodge,Coverage
Countries,IND,India,2010,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16790817.0,12302112,73.27
Countries,IND,India,2010,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,16544576.0,10344867,62.5%
Countries,IND,India,2010,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16471292.0,11423967,69.36
Countries,IND,India,2010,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,15670959.0,9065158,57.85
Countries,IND,India,2010,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,16396887.0,11060535,67.46
Countries,IND,India,2010,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16220899.0,11375679,70.13
Countries,IND,India,2010,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16330626.0,10303753,63.09
Countries,IND,India,2010,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,16199418.0,10189071,62.9
Countries,IND,India,2010,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,15949781.0,10359822,65.0%
Countries,IND,India,2010,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,15896617.0,9518720,59.88
Countries,IND,India,2011,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16521577.0,11094461,67.15
Countries,IND,India,2011,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16513269.0,9971476,60.38
Countries,IND,India,2011,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16359296.0,11679757,71.4
Countries,IND,India,2011,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16801927.0,9440627,56.19
Countries,IND,India,2011,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,16331928.0,11911576,72.93
Countries,IND,India,2011,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16656761.0,10565512,63.4%
Countries,IND,India,2011,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16760917.0,11633500,69.41
Countries,IND,India,2011,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,16356653.0,10282240,62.86
Countries,IND,India,2011,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16396918.0,10514177,64.12
Countries,IND,India,2011,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,16899407.0,10248449,60.64
Countries,IND,India,2012,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16410129.0,12121460,73.87
Countries,IND,India,2012,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,17130268.0,10016857,58.47
Countries,IND,India,2012,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16522924.0,12045982,72.9
Countries,IND,India,2012,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16736746.0,9679052,57.83
Countries,IND,India,2012,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,16456850.0,11481989,69.77
Countries,IND,India,2012,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16727504.0,11676451,69.8
Countries,IND,India,2012,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16936038.0,11336945,66.94
Countries,IND,India,2012,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,16513585.0,10592278,64.14
Countries,IND,India,2012,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16705442.0,11298963,67.6%
Countries,IND,India,2012,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,16483283.0,8842655,53.65
Countries,IND,India,2013,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16914988.0,12320116,72.84
Countries,IND,India,2013,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16759051.0,10105946,60.3
Countries,IND,India,2013,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16774671.0,11186072,66.68
Countries,IND,India,2013,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17586057.0,10483190,59.61
Countries,IND,India,2013,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,16881583.0,12277424,72.73
Countries,IND,India,2013,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17028359.0,12158227,71.4
Countries,IND,India,2013,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16326463.0,11805629,72.31
Countries,IND,India,2013,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,16598761.0,10612106,63.9%
Countries,IND,India,2013,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16805656.0,10414915,61.97
Countries,IND,India,2013,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,17288419.0,9712982,56.18
Countries,IND,India,2014,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16841300.0,12034559,71.46
Countries,IND,India,2014,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,16545131.0,10431260,63.05
Countries,IND,India,2014,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17006427.0,11661954,68.57
Countries,IND,India,2014,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17201045.0,10511488,61.11
Countries,IND,India,2014,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,17043041.0,12957277,76.03
Countries,IND,India,2014,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17021946.0,11203830,65.82
Countries,IND,India,2014,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16713457.0,11570016,69.2%
Countries,IND,India,2014,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17100674.0,12779369,74.73
Countries,IND,India,2014,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17202759.0,11145429,64.79
Countries,IND,India,2014,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17080778.0,10858560,63.57
Countries,IND,India,2015,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16863567.0,12502841,74.14
Countries,IND,India,2015,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17220379.0,10457960,60.73
Countries,IND,India,2015,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17582893.0,13195171,75.05
Countries,IND,India,2015,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,16829863.0,10634762,63.19
Countries,IND,India,2015,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,17266434.0,12302658,71.25
Countries,IND,India,2015,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17341887.0,11830267,68.2%
Countries,IND,India,2015,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17085467.0,12071964,70.66
Countries,IND,India,2015,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,16615529.0,10972267,66.04
Countries,IND,India,2015,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,16703228.0,11650389,69.75
Countries,IND,India,2015,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,17159299.0,9936349,57.91
Countries,IND,India,2016,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,16899664.0,12844375,76.0
Countries,IND,India,2016,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,17615569.0,11554171,65.59
Countries,IND,India,2016,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17439584.0,13533574,77.6
