ISO_3_Code,Country_Name,Who_Region,Year,Description,Intro
IND,India,SEARO,2010,Rotavirus vaccine,No
IND,India,SEARO,2011,Rotavirus vaccine,No
IND,India,SEARO,2012,Rotavirus vaccine,No
IND,India,SEARO,2013,Rotavirus vaccine,No
IND,India,SEARO,2014,Rotavirus vaccine,No
IND,India,SEARO,2015,Rotavirus vaccine,No
IND,India,SEARO,2016,Rotavirus vaccine,Partial
IND,India,SEARO,2017,Rotavirus vaccine,Yes
IND,India,SEARO,2018,Rotavirus vaccine,Yes
IND,India,SEARO,2019,Rotavirus vaccine,Yes
IND,India,SEARO,2020,Rotavirus vaccine,Yes
IND,India,SEARO,2021,Rotavirus vaccine,Yes
IND,India,SEARO,2022,Rotavirus vaccine,Yes
IND,India,SEARO,2023,Rotavirus vaccine,Yes
IND,India,SEARO,2024,Rotavirus vaccine,Yes
IND,India,SEARO,2010,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2011,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2012,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2013,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2014,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2015,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2016,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2017,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2018,IPV - Inactivated Polio Vaccine,No
IND,India,SEARO,2019,IPV - Inactivated Polio Vaccine,Partial
IND,India,SEARO,2020,IPV - Inactivated Polio Vaccine,Yes
IND,India,SEARO,2021,IPV - Inactivated Polio Vaccine,Yes
IND,India,SEARO,2022,IPV - Inactivated Polio Vaccine,Yes
IND,India,SEARO,2023,IPV - Inactivated Polio Vaccine,Yes
IND,India,SEARO,2024,IPV - Inactivated Polio Vaccine,Yes
IND,India,SEARO,2010,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2011,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2012,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2013,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2014,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2015,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2016,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2017,HPV - Human Papillomavirus Vaccine,No
IND,India,SEARO,2018,HPV - Human Papillomavirus Vaccine,Partial
IND,India,SEARO,2019,HPV - Human Papillomavirus Vaccine,Yes
IND,India,SEARO,2020,HPV - Human Papillomavirus Vaccine,Yes
IND,India,SEARO,2021,HPV - Human Papillomavirus Vaccine,Yes
