ISO_3_Code,Country_Name,Who_Region,Year,Vaccine_code,Vaccine_description,Schedule_rounds,Target_pop,Target_pop_description,Geoarea,Age_administered,Source_comment
IND,India,SEARO,2010,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2011,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2012,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2013,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2014,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2015,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2016,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2017,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2018,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2019,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2020,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2021,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2022,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2023,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2024,BCG,BCG Vaccine,Round 1,Infants < 1 yr,Newborn infants,National,At birth,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2010,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2011,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2012,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2013,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2014,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2015,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2016,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2017,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2018,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2019,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2020,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2021,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2022,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2023,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2024,DTP1,DTP 1st Dose,Round 1,Infants < 1 yr,Infants 6 weeks,National,6 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2010,DTP3,DTP 3rd Dose,Round 3,Infants < 1 yr,Infants 14 weeks,National,14 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2011,DTP3,DTP 3rd Dose,Round 3,Infants < 1 yr,Infants 14 weeks,National,14 weeks,WHO EPI / NITAG National Guidelines
IND,India,SEARO,2012,DTP3,DTP 3rd Dose,Round 3,Infants < 1 yr,Infants 14 weeks,National,14 weeks,WHO EPI / NITAG National Guidelines
